# W20 이태원 배경 23종 시트 — key | 장면 묘사
# ★연속 풍경·왼편 덜 복잡·흰칸/세로경계/글자/숫자/상표 금지. 사람은 멀리 흐릿한 실루엣만.
station | 이태원 거리 초입, 다국적 분위기의 낮은 상점 건물들이 늘어서고 처마와 가로수 사이에 따뜻한 전구 조명 줄이 걸린 초저녁 거리, 왼쪽은 트인 저녁 하늘과 벽면
food_street | 세계 각국 음식 노점이 늘어선 좁은 거리, 알록달록한 파라솔과 천막 노점, 김이 모락모락 오르는 음식들, 따뜻한 조명과 이국적 활기
rooftop | 루프탑 테라스, 나무 데크와 화분과 낮은 난간, 그 너머로 초저녁 서울 도심 전경과 노을빛 하늘, 은은한 줄전구 조명
antique_street | 언덕진 골목에 앤틱 가구와 이국적 소품을 밖에 내놓은 상점들, 낡은 벽돌 벽과 낮은 계단, 차분하고 따뜻한 색감
pharmacy | 약국 앞 거리, 입구 위에 초록색 십자 표시 기호 하나만(간판·유리문·진열창 어디에도 글자·문자 절대 쓰지 말 것), 깔끔한 유리문과 약병 진열창, 화분 몇 개, 밝은 낮
clinic | 작은 의원 입구, 간판에는 빨간 십자 표시 기호 하나만(현판·간판·유리문 어디에도 글자·숫자·문자 절대 쓰지 말 것), 깔끔한 유리 자동문과 살짝 보이는 밝은 로비, 옆에 화분, 낮
police_box | 동네 파출소(작은 초소) 앞, 지붕 위에 파란색 둥근 표지등, 파란 톤의 단정한 건물과 나무, 맑은 낮
convenience | 24시 편의점 앞 거리, 환하게 밝은 유리창과 진열대 실루엣, 처마의 야간 조명, 어둑한 밤거리
alley | 이태원의 좁고 가파른 언덕 골목, 돌계단과 낡은 담벼락, 화분과 전선이 늘어진 아늑한 저녁 골목
mosque_road | 서울중앙성원으로 오르는 이국적인 오르막 거리, 저 멀리 둥근 돔과 뾰족한 첨탑 실루엣, 이국 상점과 야자수, 밝은 낮. ★★화면 왼쪽부터 오른쪽 끝까지 완전히 하나로 이어진 원근 거리 장면이다. 화면을 세로로 나누는 딱딱한 경계선·왼쪽에 별도의 평평한 빈 벽/패널 절대 금지. 왼쪽에도 같은 오르막 거리(하늘·바닥길·원경 건물)가 자연스럽게 이어지고, 인물이 설 왼쪽 아래에는 큰 전경 소품만 두지 않는다(바닥과 원경은 계속 이어짐)
gyeongridan | 경리단길 카페 골목, 아기자기한 카페 외관과 파라솔과 화분, 벽돌과 나무 소재, 따뜻한 오후 햇살. ★★화면 왼쪽부터 오른쪽 끝까지 완전히 하나로 이어진 원근 거리 장면이다. 화면을 세로로 나누는 딱딱한 경계선·왼쪽에 별도의 평평한 빈 벽/패널 절대 금지. 왼쪽에도 같은 골목(하늘·바닥길·원경 카페)이 자연스럽게 이어지고, 인물이 설 왼쪽 아래에는 큰 전경 소품만 두지 않는다(바닥과 원경은 계속 이어짐)
crosswalk | 큰 사거리 횡단보도, 흰 줄무늬 건널목과 신호등(색 신호만), 뒤로 도심 건물들, 밝은 낮
plaza | 호텔 앞 넓은 광장, 둥근 분수와 나무 벤치, 화단과 가로수, 밝고 트인 낮 하늘
subway_inside | 지하철 역사 내부, 개찰구 게이트와 매끈한 벽과 기둥, 형광 조명, 벽의 방향 화살표는 기호만(글자 없음)
lost_center | 유실물 센터 실내, 안내 데스크와 그 뒤로 물건을 넣어 둔 보관 선반들, 밝고 깔끔한 실내 조명
hospital_er | 병원 응급실 입구, 큰 유리 자동문과 캐노피 위 빨간 십자 표시, 옆에 흰색과 주황 줄무늬의 구급차(글자 없음), 밝은 낮. ★화면 전체가 하나의 연속된 거리 장면이고 바닥(도로·인도)은 끊김 없이 하나로 이어진다. 화면을 위아래로 나누는 가로 경계선·아래쪽에 별도의 작은 거리 장면·인셋·띠 절대 금지
street_night | 밤 이태원 번화가, 알록달록한 네온 불빛과 상점 조명이 켜진 활기찬 밤거리, 왼쪽은 어두운 밤하늘
bus_stop | 버스정류장, 지붕 있는 승강장과 긴 벤치, 노선도 판(글자·숫자 없이 색선과 점만), 가로수, 밝은 낮
cafe_inside | 아늑한 카페 내부, 창가 자리와 원목 테이블과 의자, 따뜻한 펜던트 조명, 창밖으로 보이는 거리
fire_station | 소방서 앞, 큰 빨간 차고 문과 그 안에 살짝 보이는 빨간 소방차(글자 없음), 넓은 앞마당, 밝은 낮. ★★화면 왼쪽부터 오른쪽 끝까지 완전히 하나로 이어진 원근 거리 장면이다. 화면을 세로로 나누는 딱딱한 경계선·왼쪽에 별도의 평평한 빈 벽/패널·떠 있는 나뭇가지 절대 금지. 왼쪽에도 같은 거리(하늘·바닥길·원경 건물)가 자연스럽게 이어지고, 인물이 설 왼쪽 아래에는 큰 전경 소품만 두지 않는다(바닥과 원경은 계속 이어짐)
noksapyeong | 녹사평·용산공원 초입, 넓은 잔디밭과 큰 나무들, 완만한 산책로, 맑고 파란 하늘
info_center | 관광 안내소 앞, 작은 부스와 파라솔, 안내판은 글자 없이 픽토그램과 화살표 기호만, 화분과 벤치, 낮
sunset_hill | 이태원 언덕에서 내려다본 거리, 붉게 물든 노을 하늘과 실루엣으로 늘어선 건물들, 따뜻한 황혼빛
