# W19 지은(등산복) 포즈 시트 — key | 자세+표정+방향
# ★걷기 캐릭터와 외형 100% 동일, 자세·표정만 변화
# --- 인사/기본 ---
wave | 오른손을 어깨 높이로 들어 반갑게 손을 흔들며 활짝 웃는다, 카메라를 향해 정면
greet_both | 두 손을 가슴 앞에 살짝 모으고 반갑게 인사하며 밝게 미소, 정면
bow | 허리를 15도 정도 공손히 숙여 인사한다, 3/4 정면
# --- 설명/제시 ---
explain | 오른손을 편하게 펴서 설명하는 몸짓, 밝고 또렷한 표정, 3/4 오른쪽을 향해
explain_open | 두 손을 부드럽게 좌우로 펼쳐 설명하며 미소, 정면
present_right | 오른팔을 옆으로 뻗어 오른쪽의 무언가를 소개하듯 손바닥을 펴 가리킨다, 몸은 오른쪽을 향해
point_right | 검지로 오른쪽을 또렷이 가리키며 밝은 표정, 오른쪽을 향해
point_self | 두 손끝으로 자기 가슴을 가리키며 미소, 정면
point_up | 검지를 머리 위로 세워 강조하며 눈을 크게, 3/4 정면
# --- 의견/주장 ---
raise_hand | 오른손을 번쩍 위로 들어 의견을 말하려는 자세, 자신있는 표정, 3/4 정면
finger_up | 검지를 얼굴 옆에 세워 이유를 강조하는 자세, 진지하고 또렷한 표정, 3/4 정면
think | 오른손을 턱에 대고 골똘히 생각하는 표정, 눈은 위쪽을 본다, 3/4
weigh | 두 손바닥을 위로 펴서 저울처럼 좌우로 벌려 찬반을 견주는 자세, 고민하는 표정, 정면
confident | 두 손을 허리에 얹고 가슴을 펴 자신만만하게 밝게 웃는다, 정면
# --- 동의/반대 ---
nod_agree | 고개를 끄덕이며 밝게 동의하는 표정, 오른손 엄지를 살짝 든다, 3/4 정면
shake_no | 오른손을 가볍게 좌우로 저으며 정중히 반대하는 부드러운 표정, 3/4 정면
persuade | 두 손을 앞으로 부드럽게 내밀어 설득하는 자세, 진심 어린 따뜻한 표정, 정면
tilt_puzzled | 고개를 갸우뚱하고 오른손 검지를 볼에 대며 궁금한 표정, 3/4 정면
# --- 다양한 표정(어린 학생) ---
smile_bright | 두 손을 가볍게 앞에 모으고 환하게 미소, 정면
laugh_big | 고개를 살짝 젖히고 입을 벌려 즐겁게 크게 웃는다, 두 눈은 반달, 정면
excited | 두 주먹을 쥐고 신나서 살짝 폴짝 뛰는 자세, 눈이 반짝이고 입을 벌려 웃는다, 정면
surprised | 두 손을 입가에 살짝 대고 눈을 크게 뜬 놀란 표정, 정면
aha | 오른손 검지를 번쩍 들고 눈을 크게 뜨며 '아하!' 깨달은 밝은 표정, 3/4 정면
proud | 두 손을 가슴에 얹고 뿌듯하게 눈웃음 짓는다, 정면
curious | 상체를 앞으로 살짝 기울여 호기심 가득한 눈으로 바라본다, 3/4 오른쪽을 향해
sparkle | 두 손을 두 뺨 옆에 살짝 모으고 눈을 반짝이며 감탄하는 표정, 정면
pout | 볼을 살짝 부풀리고 입을 삐죽이며 팔짱을 낀 토라진 표정, 3/4 정면
determined | 오른 주먹을 가슴 앞에 불끈 쥐고 '파이팅' 하는 힘찬 표정, 정면
clap | 두 손바닥을 마주쳐 박수를 치며 기뻐하는 표정, 정면
cheer | 두 팔을 위로 쭉 뻗어 만세하며 활짝 기뻐한다, 정면
thumbs_up | 오른손 엄지를 척 들어 올리며 밝게 웃는다, 3/4 정면
# --- 설악산 동작 ---
look_view | 오른손을 이마에 얹어 차양을 만들고 먼 경치를 바라보며 감탄하는 표정, 오른쪽을 향해
