# W20 인준(캐주얼·이태원 돌발상황) 포즈 시트 — key | 자세+표정+방향
# ★걷기 캐릭터(injun_w20_walk_*)와 외형 100% 동일, 자세·표정만 변화. 어린 남학생답게 표정 다양.
# --- 인사/기본 ---
wave | 오른손을 어깨 높이로 들어 반갑게 손을 흔들며 활짝 웃는다, 카메라를 향해 정면
greet_both | 두 손을 가슴 앞에 살짝 모으고 반갑게 인사하며 밝게 미소, 정면
bow | 허리를 15도 정도 공손히 숙여 인사한다, 3/4 정면
# --- 설명/제시 ---
explain | 오른손을 편하게 펴서 설명하는 몸짓, 밝고 또렷한 표정, 3/4 오른쪽을 향해
explain_open | 두 손을 부드럽게 좌우로 펼쳐 설명하며 미소, 정면
present_right | 오른팔을 옆으로 뻗어 오른쪽의 무언가를 소개하듯 손바닥을 펴 가리킨다, 몸은 오른쪽을 향해
point_right | 검지로 오른쪽을 또렷이 가리키며 밝은 표정, 오른쪽을 향해
point_self | 두 손끝으로 자기 가슴을 가리키며 미소, 정면
point_up | 검지를 머리 위로 세워 강조하며 눈을 크게, 3/4 정면
# --- 응급/도움 (이번 회차 핵심) ---
worried | 눈썹을 안쪽으로 모으고 두 손을 가슴 앞에 살짝 쥐어 걱정스럽고 불안한 표정, 3/4 정면
hurt | 한 손을 배(아픈 곳)에 대고 몸을 살짝 웅크리며 얼굴을 찡그린 아픈 표정, 3/4 정면
help_gesture | 두 손바닥을 앞으로 내밀어 '도와주세요' 하고 간절히 부탁하는 자세, 걱정스럽지만 정중한 표정, 오른쪽을 반쯤 향해
search_pockets | 두 손으로 바지와 티셔츠 주머니를 뒤지며 물건을 못 찾아 당황한 표정, 몸을 살짝 숙인다, 3/4 정면
phone | 오른손으로 휴대폰을 귀에 대고 통화하며 진지하게 신고하는 표정, 3/4 오른쪽을 향해
calm | 두 손바닥을 아래로 지그시 눌러 '침착하세요' 하는 몸짓, 차분하고 안정된 표정, 정면
reassure | 오른손을 부드럽게 앞으로 내밀어 '괜찮아요' 하고 안심시키는 자세, 따뜻한 미소, 오른쪽을 향해
relieved | 한 손을 가슴에 얹고 안도의 한숨을 쉬며 눈을 부드럽게 감듯 편안하게 웃는 표정, 정면
# --- 다양한 표정(어린 학생) ---
surprised | 두 손을 살짝 들고 눈을 크게 뜬 놀란 표정, 입을 살짝 벌린다, 정면
curious | 상체를 앞으로 살짝 기울여 호기심 가득한 눈으로 바라본다, 3/4 오른쪽을 향해
aha | 오른손 검지를 번쩍 들고 눈을 크게 뜨며 '아하!' 깨달은 밝은 표정, 3/4 정면
proud | 두 손을 가슴에 얹고 뿌듯하게 눈웃음 짓는다, 정면
smile_bright | 두 손을 가볍게 앞에 모으고 환하게 미소, 정면
determined | 오른 주먹을 가슴 앞에 불끈 쥐고 '파이팅' 하는 힘찬 표정, 정면
think | 오른손을 턱에 대고 골똘히 생각하는 표정, 눈은 위쪽을 본다, 3/4 정면
nod_agree | 고개를 살짝 끄덕이며 밝게 동의하는 표정, 오른손 엄지를 살짝 든다, 3/4 정면
thumbs_up | 오른손 엄지를 척 들어 올리며 밝게 웃는다, 3/4 정면
weigh | 두 손바닥을 위로 펴서 저울처럼 좌우로 벌려 상황을 견주는 자세, 고민하는 표정, 정면
confident | 두 손을 허리에 얹고 가슴을 펴 자신만만하게 밝게 웃는다, 정면
finger_up | 검지를 얼굴 옆에 세워 강조하는 자세, 진지하고 또렷한 표정, 3/4 정면
look_view | 오른손을 이마에 얹어 차양을 만들고 주변을 두리번 둘러보며 살피는 표정, 오른쪽을 향해
