# W19 설악산 배경 23종 — key | 장면
entrance | 설악산 국립공원 입구, 큰 전통 목조 일주문과 붉게 물든 단풍 산자락, 맑고 높은 가을 하늘
sinheungsa | 설악산 신흥사 전통 사찰 전각과 커다란 청동 좌불(통일대불), 주변에 단풍 든 숲과 산
trail_low | 붉은 단풍이 우거진 초입 돌계단 등산로, 나무 사이로 스며드는 따뜻한 햇살
heundeul | 계조암 흔들바위, 둥글고 거대한 바위가 암반 위에 놓인 모습과 주변 단풍
ulsan | 울산바위, 거대한 화강암 봉우리들이 이어진 웅장한 능선, 파란 하늘과 단풍
cable_station | 권금성 케이블카 탑승장 건물과 산 위로 오르는 케이블카, 단풍 능선 배경
cable_view | 케이블카에서 높이 내려다본 단풍 물든 능선과 깊은 계곡, 시원한 조망
gwongeumseong | 권금성 옛 산성 돌담 터와 사방으로 탁 트인 산 전망, 단풍 물든 봉우리들
biryong | 비룡폭포, 가느다란 물줄기가 떨어지는 좁은 계곡, 이끼 낀 바위와 붉은 단풍
towang | 멀리 높은 절벽에서 떨어지는 토왕성폭포와 전망대, 웅장한 바위 절벽
cheonbuldong | 천불동 계곡, 붉은 단풍과 뾰족한 기암괴석, 맑게 흐르는 계류
bridge | 깊은 협곡 위에 놓인 구름다리(현수교)와 양옆 붉은 단풍 절벽
maple_tunnel | 양옆으로 붉은 단풍이 아치처럼 우거진 터널 같은 숲길
rock_ridge | 기암괴석이 늘어선 능선길, 뾰족한 회색 바위들과 파란 가을 하늘
gongryong | 공룡능선 파노라마, 뾰족한 봉우리들이 공룡 등처럼 줄지어 선 장관, 흐르는 구름
madeungnyeong | 마등령 갈림길, 글자 없는 나무 이정표 기둥과 능선의 관목 숲
shelter | 중청 대피소 산장 건물과 능선, 부드러운 저녁 어스름 빛
final_ridge | 대청봉으로 오르는 마지막 낮은 관목 능선길과 넓게 트인 하늘
summit | 대청봉 정상의 큰 바위, 탁 트인 하늘과 아래로 겹겹이 펼쳐진 산맥
unhae | 정상에서 본 운해, 구름 바다가 산봉우리들을 감싼 장관과 은은한 일출빛
descent | 하산길, 붉은 단풍으로 물든 완만한 사면과 굽이진 흙길
osaek | 오색 계곡의 단풍과 작은 돌 약수터, 맑은 물이 고인 모습
sunset | 능선에 노을이 물든 붉은 단풍 풍경, 주황빛 저녁 하늘
