# [Character Poses - Injun (남자아이, 25 Poses)] — 지은 미러링(소년화)
injun_waking_up: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform waking up and stretching in bed, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text, no signatures
injun_packing: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform placing books into a backpack on a study desk, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_washing: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair washing face at a bathroom sink, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_eating: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform eating breakfast at a dining table, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_walking: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform walking out of a door towards a street, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_sleeping: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair lying in bed sleeping, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_brushing_teeth: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair brushing teeth with a toothbrush, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_studying: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform sitting at a desk studying and writing, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_reading: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair holding and reading a book, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_sitting: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform sitting on a chair resting, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_running: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform running in a hurry, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_pointing: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair pointing forward with her hand, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_cheering: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform cheering with arms raised in joy, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_bowing: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform bowing politely, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_thinking: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair thinking with a hand on her chin, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_raising_hand: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform raising her hand to speak, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_drawing: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair drawing on a sketchbook, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_drinking: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair holding a cup and drinking water, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_cleaning: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair holding a broom sweeping the floor, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_opening_door: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair holding a door handle to open it, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_shoes: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair bending down to put on sneakers, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_waiting: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform waiting at a bus stop, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_waving: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform waving her hand to say goodbye, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_clapping: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair clapping hands happily, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
injun_jumping: Minimalist 2D line art of a simple Korean schoolboy stickman character named Injun with short neat hair and a school uniform jumping in the air in excitement, thick black outlines, clean whiteboard marker drawing style, on a solid flat light beige background (#F5F5F0), no text
